content,score,at
"The live train tracking is completely inaccurate. It showed the train was 20km away, but the train had already left the station. I missed my train due to this misleading information.",1,2024-06-01
"Feedback: Honestly the best travel app out there. The UI is smooth, refunds are instant usually, and the prediction feature is 99% accurate. Love the dark mode feature as well. Fix this immediately.",1,2024-06-01
Feedback: The new interface update is terrible. It is so hard to find the 'My Bookings' section now. Why change something that was working perfectly fine? The fonts are also too small. Fix this immediately.,5,2024-06-01
"Feedback: Every time I reach the final payment step, the app freezes and crashes. I have updated to the latest version and cleared cache but the bug persists. I lost my booking chance because of this. Fix this immediately.",1,2024-06-01
"The app showed a price of 500 when booking, but at the payment gateway it suddenly added a 'convenience fee' and 'agent fee' making it 850. This is deceptive pricing and completely unacceptable. This has happened twice now.",1,2024-06-01
I have been waiting for my refund for over 2 weeks now. The customer support keeps closing my ticket without resolution. This is essentially theft. I cancelled my ticket well in advance. This has happened twice now.,2,2024-06-02
Money was deducted from my bank account but the ticket was not booked. The money hasn't been refunded to my Ixigo money wallet either. Transaction ID #8829102.,4,2024-06-02
Money was deducted from my bank account but the ticket was not booked. The money hasn't been refunded to my Ixigo money wallet either. Transaction ID #8829102. This has happened twice now.,3,2024-06-02
"Feedback: Since the last update, this app consumes 40% of my battery just running in the background. My phone heats up whenever I open the tracking feature. Please optimize the code. Fix this immediately.",4,2024-06-02
"The app showed a price of 500 when booking, but at the payment gateway it suddenly added a 'convenience fee' and 'agent fee' making it 850. This is deceptive pricing and completely unacceptable. This has happened twice now.",1,2024-06-02
I have been waiting for my refund for over 2 weeks now. The customer support keeps closing my ticket without resolution. This is essentially theft. I cancelled my ticket well in advance. This has happened twice now.,1,2024-06-03
"Every time I reach the final payment step, the app freezes and crashes. I have updated to the latest version and cleared cache but the bug persists. I lost my booking chance because of this. This has happened twice now.",3,2024-06-03
Feedback: The new interface update is terrible. It is so hard to find the 'My Bookings' section now. Why change something that was working perfectly fine? The fonts are also too small. Fix this immediately.,2,2024-06-03
"Review: Honestly the best travel app out there. The UI is smooth, refunds are instant usually, and the prediction feature is 99% accurate. Love the dark mode feature as well. Really disappointed.",2,2024-06-04
Review: Money was deducted from my bank account but the ticket was not booked. The money hasn't been refunded to my Ixigo money wallet either. Transaction ID #8829102. Really disappointed.,3,2024-06-04
"Honestly the best travel app out there. The UI is smooth, refunds are instant usually, and the prediction feature is 99% accurate. Love the dark mode feature as well. This has happened twice now.",5,2024-06-05
"The app is too slow for Tatkal. By the time the page loads, all tickets are gone. Other apps are much faster. You need to improve the latency for peak hours. This has happened twice now.",5,2024-06-05
I spoke to an agent regarding my cancellation and they were extremely rude and unhelpful. They hung up on me while I was explaining the technical glitch I faced. This has happened twice now.,4,2024-06-05
Review: I have been waiting for my refund for over 2 weeks now. The customer support keeps closing my ticket without resolution. This is essentially theft. I cancelled my ticket well in advance. Really disappointed.,5,2024-06-05
Feedback: Money was deducted from my bank account but the ticket was not booked. The money hasn't been refunded to my Ixigo money wallet either. Transaction ID #8829102. Fix this immediately.,5,2024-06-05
Please add a feature to book retiring rooms directly from the app. It would be very helpful for long journeys. Also allow us to order food on train via the app. This has happened twice now.,5,2024-06-05
I spoke to an agent regarding my cancellation and they were extremely rude and unhelpful. They hung up on me while I was explaining the technical glitch I faced.,3,2024-06-05
"I am stuck in an infinite login loop. I enter the OTP, it says success, and then throws me back to the phone number screen. I cannot access my tickets or my wallet money.",3,2024-06-05
Feedback: Please add a feature to book retiring rooms directly from the app. It would be very helpful for long journeys. Also allow us to order food on train via the app. Fix this immediately.,4,2024-06-06
"The live train tracking is completely inaccurate. It showed the train was 20km away, but the train had already left the station. I missed my train due to this misleading information.",1,2024-06-06
"Every time I reach the final payment step, the app freezes and crashes. I have updated to the latest version and cleared cache but the bug persists. I lost my booking chance because of this.",5,2024-06-07
Review: Please add a feature to book retiring rooms directly from the app. It would be very helpful for long journeys. Also allow us to order food on train via the app. Really disappointed.,4,2024-06-07
"Feedback: Since the last update, this app consumes 40% of my battery just running in the background. My phone heats up whenever I open the tracking feature. Please optimize the code. Fix this immediately.",5,2024-06-07
"Every time I reach the final payment step, the app freezes and crashes. I have updated to the latest version and cleared cache but the bug persists. I lost my booking chance because of this.",5,2024-06-08
Feedback: The PNR status shown in the app is delayed by 2 hours compared to the official railway website. I almost missed my train because it showed 'Waiting' when it was actually 'Confirmed'. Fix this immediately.,5,2024-06-08
The PNR status shown in the app is delayed by 2 hours compared to the official railway website. I almost missed my train because it showed 'Waiting' when it was actually 'Confirmed'. This has happened twice now.,3,2024-06-08
"Since the last update, this app consumes 40% of my battery just running in the background. My phone heats up whenever I open the tracking feature. Please optimize the code. This has happened twice now.",4,2024-06-08
"The live train tracking is completely inaccurate. It showed the train was 20km away, but the train had already left the station. I missed my train due to this misleading information. This has happened twice now.",1,2024-06-09
Feedback: Money was deducted from my bank account but the ticket was not booked. The money hasn't been refunded to my Ixigo money wallet either. Transaction ID #8829102. Fix this immediately.,5,2024-06-09
Keep getting 'Server Request Timed Out' error whenever I search for trains between Delhi and Mumbai. My internet connection is fine (WiFi). Is your backend down? This has happened twice now.,1,2024-06-09
Feedback: Money was deducted from my bank account but the ticket was not booked. The money hasn't been refunded to my Ixigo money wallet either. Transaction ID #8829102. Fix this immediately.,2,2024-06-09
